# Unicode control characters
CHARACTER TABULATION; 0009
LATIN SMALL LETTER M UNCIAL FORM WITH RIGHT DESCENDER [MUFI] ;F23D
LATIN SMALL LETTER M WITH RIGHT DESCENDER [MUFI] ;F223
LATIN CAPITAL LETTER N WITH RIGHT DESCENDER [MUFI] ;F229
LATIN SMALL LETTER N WITH RIGHT DESCENDER [MUFI] ;F228
LATIN LETTER SMALL CAPITAL N WITH RIGHT DESCENDER [MUFI] ;F22A
LATIN LETTER SMALL CAPITAL N WITH LEFT DESCENDER [MUFI] ;F22B
LATIN SMALL LETTER N WITH FLOURISH [MUFI] ;F19A
LATIN CAPITAL LETTER Q WITH STEM [MUFI] ;F22C
LATIN SMALL LETTER R WITH FLOURISH [MUFI] ;F19B
LATIN CAPITAL LETTER S CLOSED FORM [MUFI] ;F126
LATIN SMALL LETTER S CLOSED FORM [MUFI] ;F128
LATIN SMALL LETTER LONG S DESCENDING [MUFI] ;F127
LATIN SMALL LETTER T WITH CURL [MUFI] ;F199
LATIN SMALL LETTER Y WITH RIGHT MAIN STROKE [MUFI] ;F233
LATIN LETTER SMALL CAPITAL Q [MUFI] ; EF0C
LATIN LETTER SMALL CAPITAL X [MUFI] ; EF11
LATIN LETTER SMALL CAPITAL THORN [MUFI] ; EF15
# precomposed
LATIN CAPITAL LETTER C WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;F7B5 
ROMAN NUMERAL REVERSED ONE HUNDRED WITH OVERLINE[MUFI] ;F23F 
LATIN CAPITAL LETTER D WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;F7B6 
LATIN CAPITAL LETTER E WITH OGONEK AND MACRON [MUFI] ; E0BC 
LATIN SMALL LETTER E WITH OGONEK AND MACRON [MUFI] ; E4BC 
LATIN CAPITAL LETTER I WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ; E150 
LATIN SMALL LETTER I WITH MEDIUM-HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ; E550 
LATIN CAPITAL LETTER J WITH HIGH MACRON (ABOVE CHARACTER)[MUFI] ; E154 
LATIN CAPITAL LETTER J WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ; E152 
LATIN SMALL LETTER J WITH MEDIUM-HIGH MACRON (ABOVE CHARACTER)[MUFI] ; E554 
LATIN SMALL LETTER J WITH MEDIUM-HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ; E552 
LATIN CAPITAL LETTER L WITH HIGH OVERLINE (ABOVE CHARACTER)[MUFI] ;F7B4 
